"[[13  4  4 13]
 [12  5  1 16]]","[18, 53]","[21, 52]","[19, 51]","[24, 50]"

"[[12  5  4 13]
 [14  3  1 16]]","[20, 55]","[24, 54]","[22, 53]","[26, 51]"

"[[15  2  4 13]
 [12  5  2 15]]","[20, 55]","[24, 54]","[23, 53]","[28, 51]"

"[[14  3  3 14]
 [14  3  3 14]]","[22, 56]","[26, 56]","[21, 54]","[29, 52]"

"[[15  2  3 14]
 [11  6  2 15]]","[20, 55]","[24, 54]","[24, 53]","[27, 51]"

"[[13  4  5 12]
 [15  2  2 15]]","[20, 55]","[24, 54]","[24, 53]","[27, 51]"

"[[14  3  6 11]
 [11  6  1 16]]","[14, 51]","[17, 49]","[15, 48]","[19, 46]"

"[[14  3  3 14]
 [13  4  3 14]]","[20, 55]","[24, 54]","[21, 53]","[27, 50]"

"[[14  3  4 13]
 [16  1  6 11]]","[19, 53]","[22, 51]","[20, 51]","[24, 49]"

"[[15  2  2 15]
 [13  4  5 12]]","[20, 55]","[24, 54]","[21, 53]","[27, 51]"

"[[15  2  6 11]
 [12  5  3 14]]","[14, 51]","[17, 49]","[15, 48]","[19, 46]"

"[[15  2  4 13]
 [13  4  4 13]]","[18, 54]","[22, 53]","[21, 51]","[24, 49]"

"[[14  3  5 12]
 [12  5  2 15]]","[16, 53]","[20, 51]","[15, 51]","[23, 48]"

"[[3 2 1 4]
 [3 2 1 4]]","[-5, 14]","[-3, 14]","[-4, 14]","[-2, 13]"

"[[4 1 1 4]
 [4 1 0 5]]","[0, 17]","[3, 17]","[3, 17]","[3, 17]"

"[[3 2 1 4]
 [5 0 3 2]]","[-5, 14]","[-3, 14]","[-3, 14]","[-2, 13]"

"[[5 0 0 5]
 [1 4 0 5]]","[-1, 16]","[2, 16]","[0, 16]","[5, 16]"

"[[4 1 1 4]
 [4 1 1 4]]","[-2, 16]","[0, 16]","[-1, 16]","[3, 16]"

"[[5 0 1 4]
 [4 1 2 3]]","[-2, 16]","[2, 16]","[-1, 16]","[3, 16]"

"[[5 0 3 2]
 [4 1 1 4]]","[-3, 15]","[0, 15]","[-2, 15]","[2, 14]"

"[[3 2 1 4]
 [5 0 1 4]]","[-2, 16]","[0, 16]","[0, 16]","[2, 16]"

"[[4 1 1 4]
 [3 2 0 5]]","[-2, 16]","[2, 16]","[0, 16]","[4, 16]"

"[[4 1 2 3]
 [4 1 0 5]]","[-2, 16]","[0, 16]","[-1, 16]","[3, 16]"

"[[5 0 1 4]
 [4 1 1 4]]","[0, 17]","[3, 17]","[0, 17]","[5, 17]"

"[[4 1 1 4]
 [4 1 2 3]]","[-4, 15]","[-1, 15]","[-2, 15]","[-1, 15]"

"[[5 1 0 6]
 [6 0 3 3]]","[2, 20]","[4, 20]","[4, 20]","[6, 20]"

"[[5 1 1 5]
 [5 1 0 6]]","[4, 21]","[6, 21]","[4, 21]","[8, 21]"

"[[5 1 1 5]
 [5 1 1 5]]","[2, 20]","[4, 20]","[2, 20]","[6, 20]"

"[[4 2 3 3]
 [5 1 0 6]]","[-2, 18]","[0, 18]","[-4, 18]","[1, 17]"

"[[5 1 1 5]
 [6 0 2 4]]","[2, 20]","[4, 20]","[2, 20]","[6, 20]"

"[[5 1 0 6]
 [4 2 2 4]]","[0, 19]","[2, 19]","[2, 19]","[3, 19]"

